timestamp,event_type,token,raw_log_line
"2026-09-07 17:59:08,089",SCAN_IDLE,,"2026-09-07 17:59:08,089 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:59:13,141",SCAN,,"2026-09-07 17:59:13,141 INFO Pumping candidates: 0"
"2026-09-07 17:59:13,141",SCAN_IDLE,,"2026-09-07 17:59:13,141 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:59:18,206",SCAN,,"2026-09-07 17:59:18,206 INFO Pumping candidates: 0"
"2026-09-07 17:59:18,207",SCAN_IDLE,,"2026-09-07 17:59:18,207 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:59:23,264",SCAN,,"2026-09-07 17:59:23,264 INFO Pumping candidates: 0"
"2026-09-07 17:59:23,265",SCAN_IDLE,,"2026-09-07 17:59:23,265 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:59:28,331",SCAN,,"2026-09-07 17:59:28,331 INFO Pumping candidates: 0"
"2026-09-07 17:59:28,332",SCAN_IDLE,,"2026-09-07 17:59:28,332 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:59:33,656",SCAN,,"2026-09-07 17:59:33,656 INFO Pumping candidates: 0"
"2026-09-07 17:59:33,656",SCAN_IDLE,,"2026-09-07 17:59:33,656 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:59:38,728",SCAN,,"2026-09-07 17:59:38,728 INFO Pumping candidates: 0"
"2026-09-07 17:59:38,729",SCAN_IDLE,,"2026-09-07 17:59:38,729 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:59:43,796",SCAN,,"2026-09-07 17:59:43,796 INFO Pumping candidates: 0"
"2026-09-07 17:59:43,796",SCAN_IDLE,,"2026-09-07 17:59:43,796 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:59:48,863",SCAN,,"2026-09-07 17:59:48,863 INFO Pumping candidates: 0"
"2026-09-07 17:59:48,863",SCAN_IDLE,,"2026-09-07 17:59:48,863 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:59:53,922",SCAN,,"2026-09-07 17:59:53,922 INFO Pumping candidates: 0"
"2026-09-07 17:59:53,922",SCAN_IDLE,,"2026-09-07 17:59:53,922 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:59:58,989",SCAN,,"2026-09-07 17:59:58,989 INFO Pumping candidates: 0"
"2026-09-07 17:59:58,989",SCAN_IDLE,,"2026-09-07 17:59:58,989 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 18:00:04,400",SCAN,,"2026-09-07 18:00:04,400 INFO Pumping candidates: 0"
"2026-09-07 18:00:04,401",SCAN_IDLE,,"2026-09-07 18:00:04,401 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 18:00:09,461",SCAN,,"2026-09-07 18:00:09,461 INFO Pumping candidates: 0"
"2026-09-07 18:00:09,461",SCAN_IDLE,,"2026-09-07 18:00:09,461 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 18:00:14,524",SCAN,,"2026-09-07 18:00:14,524 INFO Pumping candidates: 0"
"2026-09-07 18:00:14,524",SCAN_IDLE,,"2026-09-07 18:00:14,524 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 18:00:19,587",SCAN,,"2026-09-07 18:00:19,587 INFO Pumping candidates: 0"
"2026-09-07 18:00:19,588",SCAN_IDLE,,"2026-09-07 18:00:19,588 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 18:00:24,648",SCAN,,"2026-09-07 18:00:24,648 INFO Pumping candidates: 0"
